34551,203,3
264,5,0,0,0,59,67,107
350,5,0,0,108,84,59,176
129,5,0,0,177,109,58,261
162,5,0,59,177,45,162,241
345,5,0,60,108,42,137,154
356,5,0,68,0,76,166,94
145,5,0,137,95,74,242,173
275,5,0,162,174,73,238,218
9,5,0,167,0,72,237,87
219,5,0,238,0,93,298,75
352,5,0,163,219,88,205,284
134,5,45,60,173,124,147,269
150,5,0,206,219,53,247,276
236,5,0,242,76,90,297,131
283,5,54,206,219,153,302,284
297,5,74,59,94,176,159,161
216,5,0,243,132,43,306,214
17,5,44,243,132,126,305,188
319,5,93,159,0,140,260,100
68,5,60,0,0,151,45,80
329,5,75,147,162,168,211,219
109,5,75,160,100,172,238,143
133,5,76,46,0,138,154,90
360,5,124,0,161,203,75,213
366,5,124,76,162,179,146,266
36,5,139,46,0,224,125,77
15,5,84,0,90,167,48,149
136,5,126,239,101,172,304,202
284,5,140,126,0,209,235,51
183,5,124,0,214,228,71,270
163,5,153,212,202,201,294,284
112,5,141,236,0,203,314,66
157,6,0,0,0,87,87,53
226,5,172,159,52,231,230,125
394,6,0,0,54,108,89,134
165,6,0,0,135,102,95,227
199,5,172,231,66,229,297,138
139,6,0,89,0,95,172,74
6,6,0,95,75,90,150,158
16,5,173,160,138,220,252,200
277,6,0,96,159,53,203,263
215,6,0,151,75,86,239,154
124,5,176,0,77,229,103,148
49,6,0,203,155,68,242,254
266,5,179,72,214,239,159,266
320,5,88,148,220,151,200,276
3,5,201,159,200,242,259,250
346,6,54,96,159,136,190,268
147,5,152,0,0,216,45,54
238,6,0,239,0,49,307,101
45,6,0,242,102,90,313,182
222,6,0,0,228,87,72,268
10,6,0,243,183,87,312,267
117,5,0,247,215,51,295,279
280,6,0,173,0,89,233,52
299,6,87,151,75,169,237,154
265,5,173,253,139,219,312,196
211,6,87,191,182,182,285,262
252,6,108,0,0,155,109,94
365,6,136,0,95,223,109,189
212,6,49,234,0,153,307,47
50,6,96,109,0,168,212,63
94,6,136,0,190,202,97,255
274,6,169,109,0,243,196,109
214,5,179,75,149,236,155,209
207,6,90,237,48,159,281,142
285,6,156,0,0,236,107,53
20,3,0,0,0,87,105,55
273,6,136,110,154,220,188,224
103,6,159,237,0,202,314,101
224,6,170,188,110,237,286,165
126,6,137,98,224,221,161,283
73,3,0,0,56,103,85,118
295,6,182,189,166,230,297,234
333,3,0,0,119,99,84,190
353,3,0,85,119,65,145,188
142,3,0,106,0,91,179,82
2,3,0,145,83,55,243,163
304,3,0,243,0,50,310,88
168,3,55,180,0,122,266,87
187,3,0,146,164,53,229,241
270,6,182,162,234,233,231,280
300,3,0,244,89,96,312,189
69,3,0,85,189,83,131,242
310,6,169,110,110,233,168,152
42,6,156,0,54,217,108,94
180,3,54,146,164,133,216,222
86,3,0,0,191,64,62,231
181,3,56,145,87,153,202,143
41,3,91,85,0,194,174,67
46,3,83,85,143,153,146,236
125,3,96,216,88,163,300,178
71,3,51,266,0,149,308,59
148,3,54,217,189,120,316,237
106,3,100,0,119,189,53,210
105,3,153,53,67,232,147,169
188,3,65,86,82,150,136,132
82,3,163,148,68,228,218,164
255,3,163,218,0,226,315,95
217,3,153,54,170,230,127,241
232,3,88,0,0,154,83,46
23,3,155,0,0,205,49,109
282,3,120,217,179,226,308,232
386,4,0,0,0,62,109,64
344,4,0,0,65,54,88,156
90,4,0,89,65,43,186,166
83,4,0,186,0,105,290,98
332,4,0,187,99,56,289,177
362,4,0,0,157,74,60,242
66,4,43,61,157,92,107,242
184,4,44,89,65,131,184,138
110,4,56,107,139,141,194,238
97,4,55,0,65,107,52,157
397,4,0,110,0,79,160,58
225,4,57,194,99,110,261,191
347,4,108,0,138,160,104,239
281,4,107,0,0,161,83,104
25,4,0,61,166,43,137,218
114,4,110,184,0,189,276,103
257,1,0,0,0,66,50,53
278,2,0,0,0,72,43,79
169,1,0,0,54,47,86,147
221,2,0,0,80,67,43,128
228,4,0,194,191,97,285,241
55,2,0,44,0,94,136,76
65,1,0,86,0,49,163,109
230,4,57,262,99,102,309,184
247,4,111,194,104,208,255,182
256,1,0,164,0,91,227,65
399,2,0,137,0,44,180,88
334,2,0,44,88,64,142,141
123,1,0,87,110,42,148,149
382,4,98,195,192,199,300,234
250,1,0,228,0,64,286,101
141,2,0,181,0,69,223,86
80,2,0,143,89,42,227,132
32,1,48,0,54,117,43,151
18,4,131,84,0,198,184,94
331,2,0,224,0,70,266,87
317,1,0,149,110,52,234,159
287,2,64,44,77,162,129,160
28,1,49,44,54,129,107,148
245,4,160,0,105,212,104,184
78,1,49,51,0,122,154,41
191,2,69,137,0,168,207,93
190,1,52,108,65,159,208,116
369,4,141,104,95,224,178,152
24,4,161,0,185,241,108,239
120,2,0,227,88,47,317,161
354,1,64,209,66,115,278,135
372,2,70,208,0,179,291,78
391,4,142,108,153,206,194,225
342,1,115,208,0,177,273,77
363,4,162,0,0,228,71,78
311,1,52,108,117,130,208,159
35,3,154,128,170,236,199,232
131,1,116,209,78,197,288,156
357,4,63,0,0,102,57,55
8,2,70,208,79,177,312,154
328,4,190,185,0,239,262,81
74,3,164,219,96,236,305,164
7,1,129,0,0,216,77,92
57,2,43,143,93,125,206,151
79,4,111,256,104,196,317,178
229,NONE,-1,-1,-1,-1,-1,-1
233,NONE,-1,-1,-1,-1,-1,-1
376,NONE,-1,-1,-1,-1,-1,-1
186,1,159,78,0,205,161,92
348,2,94,0,0,182,76,55
44,3,122,175,0,205,214,48
5,1,129,0,93,216,57,156
251,2,73,0,55,150,43,160
194,NONE,-1,-1,-1,-1,-1,-1
368,NONE,-1,-1,-1,-1,-1,-1
343,NONE,-1,-1,-1,-1,-1,-1
316,NONE,-1,-1,-1,-1,-1,-1
296,NONE,-1,-1,-1,-1,-1,-1
154,NONE,-1,-1,-1,-1,-1,-1
377,NONE,-1,-1,-1,-1,-1,-1
314,NONE,-1,-1,-1,-1,-1,-1
208,NONE,-1,-1,-1,-1,-1,-1
153,1,0,234,102,61,297,152
242,2,125,130,93,213,198,145
173,NONE,-1,-1,-1,-1,-1,-1
91,NONE,-1,-1,-1,-1,-1,-1
349,NONE,-1,-1,-1,-1,-1,-1
220,4,198,72,0,241,175,70
140,NONE,-1,-1,-1,-1,-1,-1
149,1,159,162,0,221,206,103
132,1,130,58,116,221,159,157
47,NONE,-1,-1,-1,-1,-1,-1
61,2,162,0,56,218,108,150
152,2,95,77,0,161,133,48
108,1,177,207,0,223,315,69
93,NONE,-1,-1,-1,-1,-1,-1
324,6,91,109,75,158,148,115
203,NONE,-1,-1,-1,-1,-1,-1
167,5,94,261,0,140,310,99
161,NONE,-1,-1,-1,-1,-1,-1
244,NONE,-1,-1,-1,-1,-1,-1
77,NONE,-1,-1,-1,-1,-1,-1
113,2,168,108,0,222,193,74
43,NONE,-1,-1,-1,-1,-1,-1
375,NONE,-1,-1,-1,-1,-1,-1
185,6,202,197,0,243,263,99
381,5,176,104,78,239,151,146
102,NONE,-1,-1,-1,-1,-1,-1
379,NONE,-1,-1,-1,-1,-1,-1
206,6,183,232,235,242,278,275
400,3,0,180,0,51,229,63
313,NONE,-1,-1,-1,-1,-1,-1
393,5,152,159,220,195,205,284
96,NONE,-1,-1,-1,-1,-1,-1
204,NONE,-1,-1,-1,-1,-1,-1
189,NONE,-1,-1,-1,-1,-1,-1
209,NONE,-1,-1,-1,-1,-1,-1
176,NONE,-1,-1,-1,-1,-1,-1
115,NONE,-1,-1,-1,-1,-1,-1
146,1,65,273,0,164,317,55
